epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2928,2.35613,3.34216,2.58401,1.38865,0.33919,0.51835,0.32368,0.12671,0.27421,0.29483,0.18147,0.05649,1.91767,3.36397,3.42214,1.08967,0.0003625,0.0003625,0.0003625
2,24.2267,1.80653,2.41039,1.10027,1.09561,0.08195,0.07626,0.04434,0.01557,0.03914,0.03382,0.02087,0.0056,3.58121,19.22,11.1935,1.98453,0.000730199,0.000730199,0.000730199
3,35.858,1.76183,2.38582,1.03686,1.09035,0.45641,0.58914,0.41812,0.17521,0.30203,0.37736,0.20129,0.05531,1.90202,3.64992,2.02839,1.08504,0.00109047,0.00109047,0.00109047
4,47.4003,1.81142,2.33403,1.00825,1.07946,0.35707,0.39729,0.32382,0.10584,0.19681,0.21429,0.11179,0.02895,2.19461,4.95246,1.947,1.20262,0.00121287,0.00121287,0.00121287
5,58.8109,1.70703,2.20788,0.91619,1.05296,0.47885,0.55392,0.46405,0.18899,0.33692,0.39566,0.26702,0.08192,1.93548,2.65103,2.39706,1.10102,0.0012005,0.0012005,0.0012005
6,70.4448,1.65884,2.14781,0.86939,1.04991,0.54539,0.57027,0.51345,0.22582,0.36438,0.45839,0.30949,0.10142,1.86791,2.83433,9.42009,1.0857,0.00118812,0.00118812,0.00118812
7,82.1972,1.65227,2.07244,0.86165,1.04221,0.64554,0.66551,0.68427,0.30319,0.45965,0.4603,0.39886,0.13156,1.72386,2.84413,0.96939,1.03354,0.00117575,0.00117575,0.00117575
8,93.9314,1.5765,2.00425,0.81641,1.02686,0.61412,0.6922,0.66868,0.28642,0.36708,0.4421,0.31845,0.09974,1.70212,2.61764,0.88893,1.03352,0.00116337,0.00116337,0.00116337
9,105.517,1.61579,2.04029,0.81971,1.02878,0.61798,0.69949,0.64396,0.28466,0.42651,0.48186,0.33472,0.10376,1.65178,2.28128,0.88581,1.00548,0.001151,0.001151,0.001151
10,117.078,1.57316,1.9868,0.80065,1.02503,0.63208,0.76535,0.70171,0.31736,0.42081,0.50782,0.38912,0.12482,1.65881,2.40475,0.83044,1.00401,0.00113863,0.00113863,0.00113863
11,128.729,1.50995,1.92637,0.76244,0.9971,0.7541,0.76396,0.78822,0.38211,0.56547,0.5293,0.49162,0.17229,1.51625,2.00628,0.78514,0.97252,0.00112625,0.00112625,0.00112625
