epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5156,2.35613,3.34216,2.58401,1.38865,0.33919,0.51835,0.32368,0.12671,0.27421,0.29483,0.18147,0.05649,1.91767,3.36397,3.42214,1.08967,0.0003625,0.0003625,0.0003625
2,25.1331,1.81267,2.42142,1.09741,1.09778,0.00103,0.01111,0.00052,9e-05,0.00103,0.01111,0.00052,0.0001,4.06109,25.2546,inf,2.09126,0.000733849,0.000733849,0.000733849
3,37.0552,1.77188,2.35179,1.0287,1.09483,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00110149,0.00110149,0.00110149
4,49.1651,1.85464,2.32495,1.01424,1.08879,0.27725,0.30642,0.22995,0.07709,0.19472,0.17938,0.09174,0.02172,2.62695,4.89591,1.73167,1.28343,0.00123144,0.00123144,0.00123144
5,61.1547,1.7107,2.22931,0.93955,1.05554,0.5318,0.42653,0.44699,0.17135,0.32858,0.34983,0.26428,0.07612,2.11856,2.6034,1.41546,1.15381,0.00122525,0.00122525,0.00122525
6,73.1194,1.68865,2.14959,0.89568,1.05804,0.61438,0.66408,0.59716,0.25159,0.46035,0.48332,0.35796,0.11986,1.76772,2.47051,1.11177,1.06163,0.00121906,0.00121906,0.00121906
7,85.0713,1.68378,2.0857,0.88907,1.04596,0.61004,0.68065,0.62125,0.28088,0.44329,0.49305,0.37668,0.12925,1.6944,2.39343,1.16877,1.03624,0.00121287,0.00121287,0.00121287
8,97.7618,1.60244,2.01584,0.83058,1.0266,0.67311,0.66989,0.69036,0.32757,0.45075,0.47357,0.40307,0.12746,1.63354,2.44137,0.89279,1.02012,0.00120669,0.00120669,0.00120669
9,109.894,1.62178,2.04231,0.81957,1.02628,0.76934,0.7441,0.77992,0.33489,0.54582,0.52728,0.44071,0.14483,1.66632,2.2868,0.84857,1.00469,0.0012005,0.0012005,0.0012005
10,122.067,1.58084,2.00643,0.80724,1.0243,0.58509,0.65277,0.602,0.24331,0.43766,0.42559,0.35101,0.10522,1.84689,2.91787,0.87125,1.01698,0.00119431,0.00119431,0.00119431
11,134.398,1.51021,1.93614,0.76501,0.99731,0.68756,0.75509,0.75422,0.34019,0.50884,0.5472,0.46112,0.15282,1.59721,2.09533,0.78301,0.98843,0.00118812,0.00118812,0.00118812
12,148.052,1.51067,1.95891,0.77679,1.00399,0.70064,0.71717,0.74475,0.34677,0.49682,0.54249,0.45951,0.14833,1.59638,2.4367,0.78722,0.98983,0.00118194,0.00118194,0.00118194
13,161.994,1.52828,1.95121,0.79126,1.00863,0.68658,0.64812,0.66943,0.3141,0.5256,0.48454,0.42386,0.14038,1.62024,2.49392,0.82523,0.99247,0.00117575,0.00117575,0.00117575
14,174.882,1.52471,1.96352,0.77526,0.99053,0.71949,0.74258,0.72778,0.34192,0.50998,0.55774,0.44471,0.15108,1.63589,2.13495,0.78833,0.98895,0.00116956,0.00116956,0.00116956
15,186.84,1.49598,1.88848,0.75628,0.99874,0.7996,0.75109,0.80214,0.36861,0.59485,0.55968,0.52262,0.19241,1.61622,2.25142,0.77086,0.9893,0.00116337,0.00116337,0.00116337
16,198.921,1.51259,1.88395,0.74482,0.99751,0.67022,0.67946,0.71535,0.30478,0.43765,0.45514,0.376,0.11533,1.74224,2.84548,0.83402,1.00101,0.00115719,0.00115719,0.00115719
17,210.891,1.422,1.85395,0.70993,0.9776,0.72299,0.71434,0.763,0.33384,0.52445,0.51312,0.45066,0.14276,1.62427,2.3791,0.78782,0.9789,0.001151,0.001151,0.001151
18,222.897,1.42987,1.8447,0.71381,0.97417,0.73336,0.71179,0.75719,0.36511,0.49859,0.49561,0.4435,0.1503,1.6203,2.39094,0.76385,0.99171,0.00114481,0.00114481,0.00114481
19,234.865,1.45768,1.8744,0.72211,0.9935,0.7284,0.75985,0.75793,0.34637,0.47709,0.55456,0.44249,0.14942,1.59547,2.7543,0.76014,0.97626,0.00113863,0.00113863,0.00113863
20,246.878,1.45748,1.87374,0.72543,0.98255,0.73368,0.75386,0.77253,0.38136,0.53848,0.52126,0.46296,0.15423,1.50248,1.92792,0.73208,0.95042,0.00113244,0.00113244,0.00113244
